Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
11,15,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,291024,270720,17860,25025.81,1367,Submitted,13.06510607,,0,,,,Cluster,IBM POWER9 18C 3.45GHz,Power,3450,RHEL 7.6,RHEL 7.6,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,49546,179689
12,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,1572480,1382400,94640,125712,7438.28,Submitted,12.72337153,,0,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,Red Hat Enterprise Linux,Red Hat Enterprise Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,49763,179398
13,12,AI Bridging Cloud Infrastructure (ABCI),"PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2018,Research,391680,348160,19880,32576.63,1649.25,Submitted,12.05396392,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY CX2570 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,50762,179393
14,57,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,163840,131072,4325,6134.17,380,Submitted,11.38157895,,0,,,,Cluster,Hygon Dhyana 32C 2GHz,AMD x86_64,2000,CentOS,CentOS,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Asia,50797,179593
15,25,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,161280,9000,15208.23,797.54,Submitted,11.28470045,,0,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,CentOS,CentOS,NVIDIA Tesla V100 SXM2,18,Xeon Gold,QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,48468,179590
16,74,Cedar (GPU),"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,67584,61440,3371,5834.4,310,Submitted,10.87419355,,0,,,,Cluster,Xeon Silver 4216 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,NVIDIA Tesla V100,16,Xeon Silver,PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179859
17,437,,"Inspur TS10000 HPC Server, Xeon Gold 6226 12C 2.7GHz, Infiniband HDR, NVIDIA Tesla V100",Central China Normal University,Inspur,China,2018,Research,25232,24320,1411,2226.56,130,Submitted,10.85384615,,0,,,,Cluster,Intel Xeon Gold 6226 12C 2.7GHz,Intel Cascade lake,2700,Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband HDR,Asia,50763,179399
18,31,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Group 42,Nvidia,United Arab Emirates,2019,Industry,107568,103680,7257,9492.16,673,Submitted,10.78306092,,0,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,Ubuntu Linux,Ubuntu Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2,NVIDIA DGX,Infiniband,Infiniband EDR,Asia,50813,179803
19,27,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736,8125,12127.07,792.08,Submitted,10.25780224,,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,SUSE Linux Enterprise Server 12 SP1,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Asia,47912,179093
20,254,szaisystem,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR",Suzhou SC center,Sugon,China,2019,Industry,30600,27200,1814,2674.1,180,Submitted,10.07777778,,0,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS,CentOS,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,50812,179713
21,158,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",Calcul Québec/Compute Canada,Dell EMC,Canada,2019,Academic,72480,55040,2278,7494.78,240,Submitted,9.491666667,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,CentOS,NVIDIA Tesla V100,20,Xeon Gold,Dell EMC PowerEdge R640,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,50800,179605
22,76,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,60512,55552,3307,4896.51,349.5,Submitted,9.462088698,,0,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu Linux,Ubuntu Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,50701,179068
23,77,DGX Saturn V,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",NVIDIA Corporation,Nvidia,United States,2016,Industry,60512,55552,3307,4896.51,349.5,Submitted,9.462088698,,0,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu 14.04,Ubuntu 14.04,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1,NVIDIA DGX,Infiniband,Infiniband EDR,North America,48448,178928
24,19,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,177520,12210,18621.14,1320,Submitted,9.25,,0,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,RHEL 7.4,RHEL 7.4,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,50489,179444
25,426,,"Huawei G5500, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, 100G Ethernet",Chinese Bank A,Huawei,China,2018,Others,26180,24640,1432.9,2153.54,159.94,Submitted,8.958984619,,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Huawei G5500,Huawei Cluster,Gigabit Ethernet,100G Ethernet,Asia,50794,179573
26,10,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2017,Research,387872,319424,21230,27154.3,2384.24,Submitted,8.904304936,,0,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Cray Linux Environment ,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Europe,50422,177824
27,495,Era-AI,"Sugon Cluster W780I, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2017,Academic,22656,21504,1238,1845.35,144,Submitted,8.597222222,,0,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,CentOS,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Sugon Cluster W780I,Sugon Cluster,Infiniband,Infiniband FDR,Asia,47553,179247
28,82,Fênix,"Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2019,Industry,60480,57600,3161,5371.78,389.76,Submitted,8.110119048,,0,,,,Cluster,Xeon Gold 5122 4C 3.6GHz,Intel Skylake,3600,CentOS,CentOS,NVIDIA Tesla V100,4,Xeon Gold,Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,49587,179681
29,182,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service U,Sugon,China,2019,Others,44032,40960,2087,3843.38,260,Submitted,8.026923077,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50777,179730
30,218,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100",Energy Company,Sugon,China,2019,Industry,41280,38400,1963,3603.46,245,Submitted,8.012244898,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50417,179783
31,200,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,42312,39360,2003,3693.54,250,Submitted,8.012,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50598,179731
32,56,Atlas,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2020,Industry,91936,87040,4376,8848.49,546.58,Submitted,8.006147316,,0,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,2600,CentOS,CentOS,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,49587,179854
33,458,Cedar,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell EMC,Canada,2017,Academic,35712,32256,1337,2863.41,167,Submitted,8.005988024,,0,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,CentOS,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179113
34,177,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Xinjiang SC Center,Sugon,China,2019,Government,44720,41600,2115,3903.43,265,Submitted,7.981132075,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,50790,179729
35,464,,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Cloud Company,Sugon,China,2018,Industry,28884,26560,1314,2319.29,165,Submitted,7.963636364,,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,CentOS,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50775,179550
36,446,GCloud,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",MCloud Company,Sugon,China,2018,Industry,30624,28160,1389,2459,176,Submitted,7.892045455,,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,CentOS,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50788,179554
37,249,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,41760,38400,1825,3353.18,240,Submitted,7.604166667,,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,CentOS,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50598,179555
38,291,,"Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR",Pukou Advanced Computing Center,Sugon,China,2019,Industry,100800,89600,1661,181.3,260,Submitted,6.388461538,,0,,,,Cluster,AMD Epyc 7501 32C 2GHz,AMD Zen (Naples),2000,CentOS,CentOS,AMD Vega 20,32,AMD Naples,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband HDR,Asia,50818,179801
39,4,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",National Supercomputing Center in Wuxi,NRCPC,China,2016,Research,10649600,,93014.59,125435.9,15371,Submitted,6.051304006,,0,,,,MPP,Sunway SW26010 260C 1.45GHz,ShenWei,1450,Sunway RaiseOS 2.0.5,Sunway RaiseOS 2.0.5,None,260,Sunway,Sunway MPP,Sunway Cluster,Custom Interconnect,Sunway,Asia,50623,178764
40,431,XJSCSystem,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, Infiniband FDR",Xinjiang SC Center,Sugon,China,2018,Government,30240,26880,1418,2413.82,240,Submitted,5.908333333,,0,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,CentOS,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband FDR,Asia,50790,179557
41,457,Earth Bigdata,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2019,Academic,24000,,1344,1920,230,Submitted,5.843478261,,0,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS,CentOS,None,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,47553,179683
42,482,Spartan,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox InfiniBand HDR",Atos,Atos,France,2019,Vendor,43264,,1266.05,1869,219,Submitted,5.781050228,,0,,,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,bullx SCS,bullx SCS,None,64,AMD Rome,Bull Sequana XH2000 ,Bull Sequana,Infiniband,Mellanox InfiniBand HDR,Europe,50630,179701
43,59,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2019,Academic,76608,,4289.85,6618.93,845.09,Submitted,5.076204901,,0,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,2700,Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Fujitsu PRIMERGY CX2550/CX2560 M5,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,50096,179606
44,47,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2020,Academic,169728,,5388.52,7060.68,1070,Submitted,5.036,,0,,,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,bullx SCS,bullx SCS,None,64,AMD Rome,Bull Sequana XH2000 ,Bull Sequana,Infiniband,Mellanox InfiniBand HDR100,Europe,47508,179855
45,18,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.46,2718.7,Submitted,4.985691691,,0,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Asia,50673,178932
46,179,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100",Shanghai Supercomputer Center,Sugon,China,2019,Research,40960,5120,2109,3434.09,430,Submitted,4.904651163,,0,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,NVIDIA Tesla V100,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Omnipath,Intel Omni-Path,Asia,49697,179695
47,33,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CEA/TGCC-GENCI,Atos,France,2019,Research,197120,,6988.04,12039.37,1436,Submitted,4.86632312,,0,,,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,bullx SCS,bullx SCS,None,64,AMD Rome,Bull Sequana XH2000 ,Bull Sequana,Infiniband,Mellanox InfiniBand HDR100,Europe,50414,179700
48,92,Lichtenberg II (Phase 1),"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",Technische Universitaet Darmstadt,MEGWARE,Germany,2020,Academic,57024,,3033.51,4196.97,634.15,Submitted,4.783584325,,0,,,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400,CentOS,CentOS,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),MEGWARE MiriQuid,MEGWARE Cluster,Infiniband,Mellanox InfiniBand HDR100,Europe,49078,179857
49,29,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Meteo France,Atos,France,2020,Research,294912,,7683.36,10469.38,1655,Submitted,4.642513595,,0,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,bullx SCS,bullx SCS,None,64,AMD Rome,Bull Sequana XH2000 ,Bull Sequana,Infiniband,Mellanox InfiniBand HDR100,Europe,48356,179853
50,38,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2018,Research,114480,,6177.73,9891.07,1361,Submitted,4.539110948,,0,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,CentOS,CentOS,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,47871,179424
51,87,Numerical Materials Simulator,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path",National Institute for Materials Science,HPE,Japan,2020,Research,53568,,3082.12,4971.11,691.2,Submitted,4.459085648,,0,,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,CentOS,CentOS,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Dual-rail Intel Omni-Path,Asia,49749,179847
52,61,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Atos,France,2017,Research,79488,,4065.55,6635.52,917,Submitted,4.433533261,,0,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,bullx SCS,bullx SCS,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand EDR,Europe,50414,179411
